Date,Open,High,Low,Close,Adj Close,Volume
2013-04-01,15.782142639160156,15.901785850524902,13.753570556640625,15.813570976257324,13.65788459777832,10963489600
2013-05-01,15.873571395874023,16.633928298950195,14.960714340209961,16.061786651611328,13.87226676940918,9447530400
2013-06-01,16.09749984741211,16.229642868041992,13.888214111328125,14.161786079406738,12.312225341796875,7018536000
2013-07-01,14.381786346435547,16.33357048034668,14.329285621643066,16.161785125732422,14.051023483276367,6538114800
2013-08-01,16.27678680419922,18.347856521606445,16.187856674194336,17.400714874267578,15.128144264221191,8058338400
2013-09-01,17.610713958740234,18.139999389648438,15.972143173217773,17.02678680419922,14.900795936584473,8630941200
2013-10-01,17.087499618530273,19.258928298950195,17.08142852783203,18.667856216430664,16.336959838867188,7837732000
2013-11-01,18.71500015258789,19.940357208251953,18.299285888671875,19.859643936157227,17.37993621826172,5225155600
2013-12-01,19.928571701049805,20.540714263916016,19.242856979370117,20.036428451538086,17.637027740478516,7057397200
2014-01-01,19.845714569091797,20.007143020629883,17.626785278320312,17.878570556640625,15.737577438354492,8765954400
2014-02-01,17.95035743713379,19.68535614013672,17.832143783569336,18.794286727905273,16.54363441467285,5880366800
2014-03-01,18.693571090698242,19.60714340209961,18.671785354614258,19.169286727905273,16.97472381591797,5001698800
2014-04-01,19.205713272094727,21.408214569091797,18.26178550720215,21.074642181396484,18.661949157714844,6435060800
2014-05-01,21.14285659790039,23.006071090698242,20.726070404052734,22.60714340209961,20.019012451171875,5735668400
2014-06-01,22.641429901123047,23.762500762939453,22.23214340209961,23.232500076293945,20.68767547607422,4827739200
2014-07-01,23.3799991607666,24.860000610351562,23.142499923706055,23.899999618530273,21.282058715820312,4140344000
2014-08-01,23.725000381469727,25.725000381469727,23.31999969482422,25.625,22.8181095123291,3748308000
2014-09-01,25.764999389648438,25.934999465942383,24.03499984741211,25.1875,22.540090560913086,6105680000
2014-10-01,25.147499084472656,27.010000228881836,23.795000076293945,27.0,24.162092208862305,5441120800
2014-11-01,27.05500030517578,29.9375,26.93000030517578,29.732500076293945,26.607378005981445,3281632800
2014-12-01,29.702499389648438,29.8125,26.565000534057617,27.594999313354492,24.801624298095703,4294378400
2015-01-01,27.84749984741211,30.0,26.157499313354492,29.290000915527344,26.325042724609375,5221053600
2015-02-01,29.512500762939453,33.400001525878906,29.020000457763672,32.1150016784668,28.864076614379883,4546140800
2015-03-01,32.3125,32.56999969482422,30.407499313354492,31.107500076293945,28.06890296936035,4554568400
2015-04-01,31.204999923706055,33.6349983215332,30.774999618530273,31.287500381469727,28.2313175201416,3984542000
2015-05-01,31.524999618530273,33.24250030517578,30.84000015258789,32.56999969482422,29.388547897338867,3816608400
2015-06-01,32.56999969482422,32.84749984741211,31.1200008392334,31.357500076293945,28.412675857543945,3514426800
2015-07-01,31.725000381469727,33.24250030517578,29.80500030517578,30.325000762939453,27.47713851928711,4233122400
2015-08-01,30.375,30.642499923706055,23.0,28.190000534057617,25.54263687133789,6427276400
2015-09-01,27.537500381469727,29.22249984741211,26.84000015258789,27.575000762939453,25.098487854003906,4826189200
